te_estimator,window_size,field_def,cmi_regimes,threshold_mode,sink_mode,thr_bot,thr_top,cooldown,max_posiciones,pnl_pct,portfolio_final,bh_pnl,alpha_bh,n_compras,n_ventas,n_trades,n_ignorados,win_rate,pos_finales,valid
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.55,24,9,-20.62,793.77,7.35,-27.98,1501,1571,3072,60,49.6,6,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.55,48,5,-21.27,787.27,7.35,-28.63,794,794,1588,4,47.6,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.55,48,7,-15.49,845.08,7.35,-22.85,794,794,1588,4,47.6,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.55,0,5,-36.74,632.62,7.35,-44.09,1217,1222,2439,25322,55.8,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.55,0,7,-27.86,721.38,7.35,-35.22,1217,1222,2439,25322,55.8,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.55,0,9,-22.42,775.84,7.35,-29.77,1217,1222,2439,25322,55.8,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.55,24,5,-40.33,596.74,7.35,-47.68,1498,1569,3067,65,50.7,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.55,48,9,-12.18,878.25,7.35,-19.53,794,794,1588,4,47.6,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.55,96,5,85.03,1850.29,7.35,77.67,378,399,777,23,52.4,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.55,96,7,123.38,2233.76,7.35,116.02,381,399,780,20,52.1,7,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.55,96,9,121.79,2217.88,7.35,114.43,386,399,785,15,52.9,9,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.6,0,5,-47.28,527.22,7.35,-54.63,1507,1515,3022,22875,54.7,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.6,0,7,-36.65,633.45,7.35,-44.01,1507,1515,3022,22875,54.7,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.6,0,9,-29.87,701.29,7.35,-37.23,1507,1515,3022,22875,54.7,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.6,24,5,-37.08,629.2,7.35,-44.43,1475,1557,3032,86,51.1,4,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.6,24,7,-19.83,801.71,7.35,-27.18,1475,1558,3033,85,51.2,4,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.6,24,9,-11.18,888.18,7.35,-18.54,1490,1558,3048,70,51.1,6,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.6,48,5,-23.1,769.0,7.35,-30.46,793,792,1585,2,49.7,1,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.6,48,7,-16.79,832.13,7.35,-24.14,793,792,1585,2,49.7,1,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.6,48,9,-13.17,868.26,7.35,-20.53,793,792,1585,2,49.7,1,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.6,96,5,-31.51,684.93,7.35,-38.86,387,399,786,14,46.6,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.6,96,7,78.5,1785.01,7.35,71.15,381,399,780,20,48.1,7,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.6,96,9,98.26,1982.57,7.35,90.9,385,399,784,16,49.6,9,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.65,24,7,-28.03,719.74,7.35,-35.38,1475,1556,3031,82,51.1,7,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.65,24,9,2.46,1024.62,7.35,-4.89,1490,1556,3046,67,51.0,9,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.65,48,5,55.21,1552.09,7.35,47.85,764,792,1556,29,52.5,4,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.65,48,7,65.1,1651.0,7.35,57.75,774,792,1566,19,54.2,6,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.65,0,5,-47.97,520.34,7.35,-55.32,1509,1519,3028,22248,54.4,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.65,0,7,-37.25,627.55,7.35,-44.6,1509,1519,3028,22248,54.4,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.65,0,9,-30.38,696.21,7.35,-37.73,1509,1519,3028,22248,54.4,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.65,24,5,-31.57,684.33,7.35,-38.92,1481,1555,3036,77,51.2,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.65,48,9,67.56,1675.55,7.35,60.2,774,792,1566,19,53.2,8,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.65,96,5,-6.66,933.4,7.35,-14.01,400,399,799,1,50.4,1,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.65,96,7,-4.41,955.92,7.35,-11.76,400,399,799,1,50.4,1,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.65,96,9,-3.27,967.28,7.35,-10.63,400,399,799,1,50.4,1,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.7,24,7,-9.22,907.81,7.35,-16.57,1451,1529,2980,107,50.3,6,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.7,24,9,20.41,1204.11,7.35,13.06,1466,1529,2995,92,50.1,8,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.7,48,5,-0.05,999.47,7.35,-7.41,736,783,1519,58,51.0,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.7,48,7,24.5,1244.97,7.35,17.14,743,783,1526,51,50.7,7,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.7,0,5,-86.77,132.26,7.35,-94.13,5556,6156,11712,13189,53.7,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.7,0,7,-76.43,235.71,7.35,-83.78,5667,6264,11931,12970,53.8,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.7,0,9,-68.09,319.15,7.35,-75.44,5692,6286,11978,12923,53.8,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.7,24,5,5.06,1050.57,7.35,-2.3,1450,1529,2979,108,50.9,5,True
