te_estimator,window_size,field_def,cmi_regimes,threshold_mode,sink_mode,orig_pnl,best_pnl,best_thr_bot,best_thr_top,best_cooldown,alpha_bh,n_trades,win_rate,elapsed_s
kde,20,analogical,3,adaptive_percentile,score_component,-29.47,170.98,0.6,0.65,48,84.91,314,47.5,218.4
knn,30,analogical,3,adaptive_percentile,score_component,-21.97,169.05,0.65,0.7,96,82.98,491,45.2,171.2
knn,30,analogical,3,adaptive_percentile,filter_and,-3.9,168.55,0.6,0.7,48,82.48,252,51.6,206.7
knn,20,jacobian,2,adaptive_percentile,score_component,-24.07,167.48,0.7,0.45,96,81.41,298,50.7,158.8
knn,20,analogical,3,adaptive_percentile,score_component,-21.51,167.23,0.6,0.45,96,81.16,516,40.5,163.6
binning,10,analogical,2,adaptive_percentile,score_component,-24.87,166.3,0.45,0.7,96,80.23,442,41.8,73.3
binning,10,analogical,3,adaptive_percentile,score_component,-24.87,166.3,0.45,0.7,96,80.23,442,41.8,70.3
kde,10,analogical,2,adaptive_percentile,score_component,-24.87,166.3,0.45,0.7,96,80.23,442,41.8,176.9
kde,10,analogical,3,adaptive_percentile,score_component,-24.87,166.3,0.45,0.7,96,80.23,442,41.8,163.5
knn,20,analogical,2,adaptive_percentile,filter_and,-5.65,165.39,0.65,0.7,24,79.32,483,42.3,118.6
knn,20,jacobian,3,adaptive_percentile,score_component,-27.71,165.34,0.7,0.6,96,79.27,300,49.7,124.2
knn,15,analogical,3,adaptive_percentile,filter_and,-0.74,162.3,0.65,0.7,48,76.23,340,48.0,152.1
binning,10,analogical,2,adaptive_percentile,filter_and,-7.66,161.11,0.45,0.7,24,75.04,332,45.6,58.3
binning,10,analogical,3,adaptive_percentile,filter_and,-7.66,161.11,0.45,0.7,24,75.04,332,45.6,62.6
kde,10,analogical,2,adaptive_percentile,filter_and,-7.66,161.11,0.45,0.7,24,75.04,332,45.6,148.2
kde,10,analogical,3,adaptive_percentile,filter_and,-7.66,161.11,0.45,0.7,24,75.04,332,45.6,146.7
