te_estimator,window_size,field_def,cmi_regimes,threshold_mode,sink_mode,thr_bot,thr_top,cooldown,max_posiciones,pnl_pct,portfolio_final,bh_pnl,alpha_bh,n_compras,n_ventas,n_trades,n_ignorados,win_rate,pos_finales,elapsed_s,valid
kde,30,analogical,3,adaptive_percentile,score_component,0.55,0.55,0,5,-44.53,554.73,7.35,-51.88,1526,1612,3138,6784,55.5,0,198.97,True
binning,30,jacobian,3,fixed,score_component,0.55,0.55,0,5,-46.98,530.2,7.35,-54.33,806,883,1689,2874,50.4,4,91.33,True
kde,30,jacobian,3,fixed,score_component,0.55,0.55,0,5,-46.98,530.2,7.35,-54.33,806,883,1689,2874,50.4,4,193.7,True
binning,10,analogical,2,adaptive_percentile,score_component,0.55,0.55,0,5,-49.5,505.0,7.35,-56.85,1789,1812,3601,22412,54.4,0,66.69,True
binning,10,analogical,3,adaptive_percentile,score_component,0.55,0.55,0,5,-49.5,505.0,7.35,-56.85,1789,1812,3601,22412,54.4,0,63.69,True
kde,10,analogical,2,adaptive_percentile,score_component,0.55,0.55,0,5,-49.5,505.0,7.35,-56.85,1789,1812,3601,22412,54.4,0,174.83,True
kde,10,analogical,3,adaptive_percentile,score_component,0.55,0.55,0,5,-49.5,505.0,7.35,-56.85,1789,1812,3601,22412,54.4,0,172.13,True
binning,30,jacobian,3,adaptive_percentile,score_component,0.55,0.55,0,5,-51.01,489.86,7.35,-58.37,862,961,1823,6532,51.3,0,95.13,True
kde,30,jacobian,3,adaptive_percentile,score_component,0.55,0.55,0,5,-51.01,489.86,7.35,-58.37,862,961,1823,6532,51.3,0,199.9,True
binning,20,analogical,2,adaptive_percentile,score_component,0.55,0.55,0,5,-51.18,488.23,7.35,-58.53,1685,1753,3438,6608,56.2,0,76.9,True
kde,20,analogical,2,adaptive_percentile,score_component,0.55,0.55,0,5,-51.18,488.23,7.35,-58.53,1685,1753,3438,6608,56.2,0,183.96,True
binning,20,analogical,3,adaptive_percentile,score_component,0.55,0.55,0,5,-56.56,434.37,7.35,-63.92,1714,1788,3502,6548,56.9,1,77.56,True
kde,20,analogical,3,adaptive_percentile,score_component,0.55,0.55,0,5,-56.56,434.37,7.35,-63.92,1714,1788,3502,6548,56.9,1,185.04,True
binning,15,analogical,2,adaptive_percentile,score_component,0.55,0.55,0,5,-56.93,430.72,7.35,-64.28,1937,2009,3946,9310,58.4,0,67.88,True
kde,15,analogical,2,adaptive_percentile,score_component,0.55,0.55,0,5,-56.93,430.72,7.35,-64.28,1937,2009,3946,9310,58.4,0,177.37,True
binning,15,analogical,3,adaptive_percentile,score_component,0.55,0.55,0,5,-57.71,422.85,7.35,-65.07,1930,1998,3928,9634,58.1,0,68.32,True
kde,15,analogical,3,adaptive_percentile,score_component,0.55,0.55,0,5,-57.71,422.85,7.35,-65.07,1930,1998,3928,9634,58.1,0,178.42,True
binning,15,analogical,3,fixed,score_component,0.55,0.55,0,5,3.35,1033.48,7.35,-4.01,1,1,2,2,100.0,0,62.31,False
kde,15,analogical,3,fixed,score_component,0.55,0.55,0,5,3.35,1033.48,7.35,-4.01,1,1,2,2,100.0,0,168.65,False
binning,30,analogical,2,fixed,filter_and,0.55,0.55,0,5,0.06,1000.6,7.35,-7.29,2,2,4,7,50.0,0,91.51,False
kde,30,analogical,2,fixed,filter_and,0.55,0.55,0,5,0.06,1000.6,7.35,-7.29,2,2,4,7,50.0,0,189.71,False
