tp_id,method,params,type,datetime,ts,tp_price,move_from_prev_pct,candles_from_prev,prev_ts,prev_price,duration_candles,move_pct,max_adverse_excursion_pct,vol_mean,vol_slope,vol_first_vs_second_half,vol_last5_vs_avg,vol_acceleration,taker_ratio_mean,taker_ratio_slope,taker_last5_vs_avg,taker_acceleration,rsi_at_end,rsi_min_during,rsi_max_during,rsi_range,rsi_slope_last5,price_vs_ma20_pct,price_vs_ma50_pct,ma20_slope_last5,below_both_mas,above_both_mas,body_ratio_mean,lower_wick_ratio_mean,upper_wick_ratio_mean,pct_bearish_candles,pct_bullish_candles,consec_same_dir_end,price_slope,volatility_pct,price_acceleration,vol_price_divergence
19899,zigzag,"{""min_move_pct"": 5.0}",TOP,2021-12-19T14:00:00Z,1639922400,48300.01,6.2566,47,1639753200,45456.0,48,6.2566,6.2566,1346.76,-0.011634,1.2853,1.2348,0.091141,0.5041,0.000896,0.9742,-0.002491,54.43,35.61,65.28,29.67,0.029113,0.4311,1.2029,0.000656,0,1,0.4489,0.2807,0.2704,47.92,52.08,1,0.00049,0.6705,0.000564,-0.012123
19900,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2021-12-20T14:00:00Z,1640008800,45558.85,5.6753,24,1639922400,48300.01,25,5.6753,6.0167,1362.82,0.009208,0.9198,1.1344,0.079489,0.4789,0.002897,1.0433,0.001047,46.75,34.74,54.43,19.7,0.045185,-0.3396,-1.1565,-0.001345,1,0,0.4199,0.313,0.2671,64.0,36.0,1,-0.001276,0.6448,-0.000677,0.010484
19901,zigzag,"{""min_move_pct"": 5.0}",TOP,2021-12-27T17:00:00Z,1640624400,52088.0,14.3312,171,1640008800,45558.85,172,14.3312,14.3312,1228.47,-0.003167,1.4354,1.3573,0.002431,0.5012,7.1e-05,1.1045,0.000923,73.36,28.76,81.23,52.47,0.020037,1.6703,2.5618,0.001118,0,1,0.4073,0.294,0.2986,45.35,54.65,2,0.000439,0.4763,-0.00079,-0.003605
19902,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2021-12-30T00:00:00Z,1640822400,45900.0,11.8799,55,1640624400,52088.0,56,11.8799,13.4815,1755.64,0.000716,1.1574,1.2127,0.023423,0.48,0.000307,0.9968,0.001251,36.13,18.63,73.36,54.72,-0.051595,-1.6388,-3.1816,-0.001044,1,0,0.4327,0.3354,0.2319,53.57,46.43,1,-0.001534,0.5971,0.002119,0.00225
19903,zigzag,"{""min_move_pct"": 5.0}",TOP,2021-12-31T09:00:00Z,1640941200,48548.26,5.7696,33,1640822400,45900.0,34,5.7696,5.7696,1266.21,-0.002507,1.157,1.3655,0.058016,0.4997,0.001609,1.0363,0.006089,64.54,34.78,67.48,32.71,0.075337,1.8609,2.1302,0.000485,0,1,0.4053,0.3279,0.2668,44.12,55.88,1,0.000622,0.6073,-0.000851,-0.00313
19904,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2021-12-31T20:00:00Z,1640980800,45678.0,5.9122,11,1640941200,48548.26,12,5.9122,6.2837,1701.77,0.059508,0.6761,1.2836,0.216483,0.484,9.4e-05,0.9631,-0.034352,30.05,27.12,64.54,37.42,-0.132047,-3.2011,-2.8393,-0.000877,1,0,0.4006,0.2521,0.3473,66.67,33.33,1,-0.004604,0.6705,-0.008786,0.064112
19905,zigzag,"{""min_move_pct"": 5.0}",TOP,2022-01-02T17:00:00Z,1641142800,47990.0,5.0615,45,1640980800,45678.0,46,5.0615,5.0615,831.81,-0.009856,1.2933,1.1518,0.035507,0.5013,0.000799,1.0431,-0.000283,52.84,30.05,63.04,32.98,0.050645,0.1978,0.6953,5.3e-05,0,1,0.391,0.2503,0.3586,45.65,54.35,1,0.000419,0.4662,-0.001243,-0.010276
19906,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2022-01-08T18:00:00Z,1641664800,40501.0,15.6053,145,1641142800,47990.0,146,15.6053,18.4909,1630.13,0.003244,0.5965,1.4633,-0.018822,0.4904,-0.000137,0.972,0.000575,27.4,20.0,65.01,45.01,-0.125222,-2.5441,-3.3015,-0.000822,1,0,0.444,0.2881,0.2679,54.11,45.89,5,-0.001081,0.6372,-0.000584,0.004326
19907,zigzag,"{""min_move_pct"": 5.0}",TOP,2022-01-09T20:00:00Z,1641758400,42786.7,5.6436,26,1641664800,40501.0,27,5.6436,5.6436,1289.94,-0.039905,1.6253,1.079,0.23136,0.4997,-0.000875,1.0397,0.013093,59.46,27.4,64.7,37.3,0.018972,1.3302,1.6009,0.000621,0,1,0.4954,0.2171,0.2875,44.44,55.56,1,0.000784,0.6761,-0.000762,-0.040689
19908,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2022-01-10T14:00:00Z,1641823200,39650.0,7.331,18,1641758400,42786.7,19,7.331,7.911,1730.41,0.143562,0.3466,2.4462,0.352245,0.4871,-0.004044,0.9636,-0.003659,31.37,31.04,59.46,28.43,-0.114786,-2.4833,-2.2412,-0.001201,1,0,0.4593,0.255,0.2857,68.42,31.58,1,-0.001584,0.4721,-0.002699,0.145145
19909,zigzag,"{""min_move_pct"": 5.0}",TOP,2022-01-13T14:00:00Z,1642082400,44500.0,12.232,72,1641823200,39650.0,73,12.232,12.232,1702.01,-0.013728,1.4864,1.0792,0.042373,0.5028,0.000111,1.0298,0.000777,66.23,31.37,77.6,46.22,0.036767,0.9032,2.2122,0.000233,0,1,0.3862,0.2775,0.3363,43.84,56.16,3,0.000916,0.5968,-0.000132,-0.014644
19910,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2022-01-19T08:00:00Z,1642579200,41138.56,7.5538,138,1642082400,44500.0,139,7.5538,8.171,1181.62,-0.002258,1.0705,1.0904,0.020931,0.4895,7.5e-05,0.9612,-0.001017,37.66,25.6,66.23,40.63,-0.045633,-1.1188,-1.7008,-0.000418,1,0,0.3997,0.3237,0.2766,48.92,51.08,1,-0.000208,0.4645,-0.000692,-0.002051
19911,zigzag,"{""min_move_pct"": 5.0}",TOP,2022-01-20T16:00:00Z,1642694400,43505.0,5.7524,32,1642579200,41138.56,33,5.7524,5.7524,1383.29,0.008104,1.0157,1.9297,0.156297,0.4954,0.000766,1.0529,0.021109,73.14,37.66,74.18,36.52,0.083765,2.6803,3.036,0.001301,0,1,0.4572,0.2805,0.2623,42.42,57.58,1,0.000623,0.5364,0.001696,0.007481
19912,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2022-01-22T10:00:00Z,1642845600,34008.0,21.8297,42,1642694400,43505.0,43,21.8297,27.9258,3768.72,0.018928,0.7035,1.7383,0.030967,0.4669,-0.000529,0.9647,-0.014225,31.8,19.78,73.14,53.37,0.070627,-3.3838,-9.244,-0.004274,1,0,0.4112,0.314,0.2748,65.12,34.88,1,-0.004526,1.2798,0.001402,0.023454
19913,zigzag,"{""min_move_pct"": 5.0}",TOP,2022-01-22T13:00:00Z,1642856400,36192.76,6.4243,3,1642845600,34008.0,4,6.4243,6.4243,6512.18,-0.457408,2.3286,1.0,,0.5056,0.025737,1.0,,35.06,31.23,36.63,5.4,0.045082,-1.9153,-8.1012,-0.00419,1,0,0.342,0.3262,0.3318,50.0,50.0,1,0.001756,0.6732,-0.003067,-0.459164
19914,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2022-01-22T18:00:00Z,1642874400,34243.38,5.3861,5,1642856400,36192.76,6,5.3861,5.6927,3274.16,-0.032008,0.9664,0.973,-0.140705,0.4962,-0.014019,0.9847,0.022698,28.77,28.77,35.06,6.29,-0.011718,-3.3883,-9.285,-0.00359,1,0,0.4668,0.1544,0.3789,83.33,16.67,2,-0.00561,0.8285,0.000295,-0.026397
19915,zigzag,"{""min_move_pct"": 5.0}",TOP,2022-01-23T23:00:00Z,1642978800,36499.0,6.587,29,1642874400,34243.38,30,6.587,6.587,1909.53,-0.0015,1.0689,1.1903,0.025711,0.5098,0.000519,1.0143,0.001309,60.41,28.77,60.41,31.64,0.097203,2.109,2.1667,0.00059,0,1,0.4575,0.2799,0.2626,36.67,63.33,4,0.000589,0.9039,-0.002526,-0.002089
19916,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2022-01-24T13:00:00Z,1643029200,32917.17,9.8135,14,1642978800,36499.0,15,9.8135,10.8813,3468.54,0.090207,0.4696,1.8247,0.44385,0.4775,-0.008798,0.9895,0.06983,33.28,27.53,60.41,32.88,-0.020254,-4.4179,-5.1032,-0.002737,1,0,0.5305,0.1857,0.2838,53.33,46.67,1,-0.005884,1.1812,-0.004601,0.096091
19917,zigzag,"{""min_move_pct"": 5.0}",TOP,2022-01-26T19:00:00Z,1643223600,38919.98,18.2361,54,1643029200,32917.17,55,18.2361,18.2361,2858.57,-0.006182,1.2292,1.6005,0.086038,0.5128,-0.000627,0.9885,0.003712,51.67,33.28,68.32,35.04,-0.04089,-0.1812,1.6834,0.0016,0,0,0.4593,0.2461,0.2946,38.18,61.82,3,0.001548,0.9717,-0.000625,-0.00773
19918,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2022-01-27T03:00:00Z,1643252400,35507.01,8.7692,8,1643223600,38919.98,9,8.7692,9.6121,4016.0,-0.20139,2.3753,0.6206,0.668366,0.4748,-0.008111,0.9696,0.02961,35.25,35.25,51.67,16.42,-0.06643,-4.2377,-3.2709,-0.001835,1,0,0.5534,0.25,0.1966,55.56,44.44,1,-0.0049,1.3136,0.001985,-0.19649
19919,zigzag,"{""min_move_pct"": 5.0}",TOP,2022-01-29T21:00:00Z,1643490000,38720.74,9.051,66,1643252400,35507.01,67,9.051,9.051,1662.31,-0.012094,1.5107,0.7766,-0.009174,0.5076,0.0001,1.0352,0.001269,65.88,33.77,66.09,32.31,0.061326,1.4726,2.7856,0.000531,0,1,0.4003,0.3014,0.2983,47.76,52.24,5,0.000812,0.6718,0.000225,-0.012906
19920,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2022-01-31T02:00:00Z,1643594400,36632.61,5.3928,29,1643490000,38720.74,30,5.3928,5.7002,1026.33,0.022033,0.8286,1.6838,0.088966,0.5051,-0.001512,1.0265,0.000647,36.26,31.79,65.88,34.09,-0.106542,-2.0079,-2.178,-0.001327,1,0,0.4449,0.2829,0.2722,46.67,53.33,1,-0.000808,0.6507,-0.001808,0.022841
19921,zigzag,"{""min_move_pct"": 5.0}",TOP,2022-02-01T16:00:00Z,1643731200,39265.2,7.1865,38,1643594400,36632.61,39,7.1865,7.1865,1526.39,0.013932,1.0765,1.5511,0.017459,0.5071,0.0012,1.0369,0.004368,65.49,35.35,69.51,34.16,0.000368,1.5883,3.1151,0.000375,0,1,0.421,0.2974,0.2816,38.46,61.54,2,0.001362,0.4966,-0.002053,0.012569
19922,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2022-02-03T12:00:00Z,1643889600,36250.0,7.6791,44,1643731200,39265.2,45,7.6791,8.3178,1419.42,0.006561,0.6188,1.1656,-0.007284,0.4962,-0.000622,0.9877,0.002203,38.23,27.76,65.49,37.73,0.015269,-0.8023,-3.1129,-0.001441,1,0,0.444,0.3102,0.2458,57.78,42.22,1,-0.00152,0.561,-0.000732,0.008081
19923,zigzag,"{""min_move_pct"": 5.0}",TOP,2022-02-08T06:00:00Z,1644300000,45492.0,25.4952,114,1643889600,36250.0,115,25.4952,25.4952,1770.47,-5e-06,1.2425,1.4818,0.026025,0.502,-0.000238,0.9894,-7.4e-05,73.7,35.13,82.22,47.09,0.035813,2.0408,4.8242,0.002299,0,1,0.4239,0.293,0.2831,47.83,52.17,1,0.001568,0.7035,-0.001554,-0.001573
19924,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2022-02-08T17:00:00Z,1644339600,42666.0,6.2121,11,1644300000,45492.0,12,6.2121,6.6235,3597.63,-0.056797,1.3492,0.8265,0.100184,0.5118,0.000689,1.0169,-0.050663,37.79,37.79,74.37,36.58,-0.066581,-2.2219,-0.5689,-0.001028,1,0,0.295,0.4595,0.2455,75.0,25.0,4,-0.003466,0.6667,0.001657,-0.053331
19925,zigzag,"{""min_move_pct"": 5.0}",TOP,2022-02-10T17:00:00Z,1644512400,45821.0,7.3946,48,1644339600,42666.0,49,7.3946,7.3946,1999.56,0.021571,0.7242,3.0864,0.098565,0.4885,0.000143,1.0084,-0.003842,62.83,37.79,65.92,28.14,0.09334,2.2045,2.9749,0.000614,0,1,0.4023,0.3049,0.2928,40.82,59.18,1,0.000576,0.7943,0.00015,0.020995
19926,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2022-02-14T01:00:00Z,1644800400,41550.56,9.3198,80,1644512400,45821.0,81,9.3198,10.2777,1348.94,-0.014776,1.8732,0.7539,0.014192,0.4778,-0.000553,0.9583,-0.002246,36.79,34.22,62.83,28.61,-0.053602,-1.5044,-1.5222,-0.0002,1,0,0.4277,0.3244,0.2479,55.56,44.44,1,-0.000527,0.5988,0.001176,-0.014249
19927,zigzag,"{""min_move_pct"": 5.0}",TOP,2022-02-15T23:00:00Z,1644966000,44751.4,7.7035,46,1644800400,41550.56,47,7.7035,7.7035,1514.45,0.002046,0.9062,0.7515,-0.02448,0.4942,0.001552,1.0492,-0.001275,69.05,36.79,77.07,40.28,0.021777,1.1587,3.5094,0.000955,0,1,0.422,0.251,0.3269,40.43,59.57,2,0.00147,0.4969,0.000251,0.000576
19928,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2022-02-21T13:00:00Z,1645448400,37213.63,16.8437,134,1644966000,44751.4,135,16.8437,20.2554,1489.98,0.000436,1.3656,2.1468,0.001792,0.4734,-8.7e-05,0.9835,0.001956,30.5,15.45,69.05,53.6,-0.129273,-2.749,-3.7246,-0.000737,1,0,0.4115,0.3195,0.2689,57.04,42.96,1,-0.00121,0.559,0.000908,0.001646
19929,zigzag,"{""min_move_pct"": 5.0}",TOP,2022-02-21T15:00:00Z,1645455600,39283.07,5.561,2,1645448400,37213.63,3,5.561,5.561,4559.39,0.037925,0.73,1.0,,0.5072,0.030067,1.0,,52.49,30.5,52.49,21.99,0.247092,0.4396,-0.3661,0.000433,0,0,0.3588,0.269,0.3721,0.0,100.0,3,0.016492,1.296,,
19930,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2022-02-22T03:00:00Z,1645498800,36350.0,7.4665,12,1645455600,39283.07,13,7.4665,8.069,3039.09,-0.001931,0.9594,0.9593,0.014293,0.4816,-0.004906,0.9841,-0.013089,34.47,34.47,52.49,18.02,-0.018047,-3.3909,-4.6886,-0.002898,1,0,0.4593,0.2651,0.2756,53.85,46.15,2,-0.004597,1.2299,0.001827,0.002666
19931,zigzag,"{""min_move_pct"": 5.0}",TOP,2022-02-23T13:00:00Z,1645621200,39249.93,7.9778,34,1645498800,36350.0,35,7.9778,7.9778,1972.74,-0.018455,1.6479,0.8753,0.034046,0.5117,0.000734,1.0255,-0.001365,66.32,34.47,67.88,33.41,-0.00103,1.9038,2.9883,0.001453,0,1,0.3633,0.292,0.3448,42.86,57.14,1,0.001528,0.5614,-0.000645,-0.019982
