bot_combo,top_combo,umbral_bot,umbral_top,cooldown,pnl_pct,portfolio,n_buy,n_sell,n_trades,n_ign,win_rate,alpha_vs_bh,alpha_vs_orig
bb_position+recovery_pct,close_position+drawdown_pct,0.75,0.7,96,16.86,1168.63,89,89,178,27,57.3,92.64,86.7
close_position+bb_position+recovery_pct,close_position+drawdown_pct,0.8,0.7,96,16.62,1166.18,89,89,178,27,59.6,92.4,86.46
bb_position+recovery_pct,drawdown_pct,0.75,0.6,96,16.03,1160.34,89,89,178,87,69.7,91.81,85.87
bb_position+recovery_pct,close_position,0.75,0.65,96,15.88,1158.76,89,88,177,32,58.0,91.66,85.72
bb_position+recovery_pct,close_position+bb_position,0.75,0.65,96,15.7,1156.98,89,89,178,68,65.2,91.48,85.54
close_position+bb_position+recovery_pct,close_position+bb_position,0.8,0.65,96,15.64,1156.36,89,89,178,68,65.2,91.42,85.48
close_position+bb_position+recovery_pct,close_position,0.8,0.65,96,15.62,1156.19,89,88,177,32,60.2,91.4,85.46
bb_position+recovery_pct,close_position+drawdown_pct+bb_position,0.75,0.7,96,15.39,1153.93,89,89,178,36,62.9,91.17,85.23
close_position+bb_position+recovery_pct,close_position+drawdown_pct+bb_position,0.8,0.7,96,15.25,1152.5,89,89,178,37,62.9,91.03,85.09
close_position+bb_position+recovery_pct,drawdown_pct,0.8,0.6,96,14.73,1147.34,89,89,178,86,67.4,90.51,84.57
close_position+bb_position+recovery_pct,close_position+drawdown_pct,0.75,0.7,96,14.61,1146.09,89,89,178,27,57.3,90.39,84.45
close_position+bb_position,close_position+bb_position,0.75,0.65,96,14.47,1144.66,89,89,178,86,66.3,90.25,84.31
close_position+bb_position+recovery_pct,drawdown_pct,0.75,0.6,96,13.7,1136.98,89,89,178,87,68.5,89.48,83.54
close_position+bb_position,close_position,0.75,0.65,96,13.65,1136.45,89,88,177,40,55.7,89.43,83.49
bb_position+recovery_pct,drawdown_pct,0.75,0.65,96,13.59,1135.94,89,89,178,58,69.7,89.37,83.43
close_position+bb_position+recovery_pct,close_position,0.75,0.65,96,13.57,1135.72,89,88,177,32,56.8,89.35,83.41
close_position+bb_position+recovery_pct,close_position+bb_position,0.75,0.65,96,13.4,1133.98,89,89,178,68,64.0,89.18,83.24
bb_position+recovery_pct,close_position+drawdown_pct,0.75,0.65,96,13.39,1133.89,89,89,178,52,64.0,89.17,83.23
bb_position+recovery_pct,bb_position,0.75,0.65,96,13.13,1131.34,89,89,178,81,68.5,88.91,82.97
close_position+bb_position+recovery_pct,close_position+drawdown_pct+bb_position,0.75,0.7,96,13.11,1131.15,89,89,178,36,62.9,88.89,82.95
close_position+bb_position,close_position+drawdown_pct,0.75,0.7,96,13.09,1130.94,89,89,178,30,57.3,88.87,82.93
close_position+recovery_pct,drawdown_pct,0.85,0.8,96,13.02,1130.18,83,83,166,66,65.1,88.8,82.86
close_position+recovery_pct,close_position+bb_position,0.7,0.65,96,13.0,1130.02,89,89,178,85,60.7,88.78,82.84
close_position+bb_position+recovery_pct,close_position+drawdown_pct,0.8,0.65,96,12.81,1128.1,89,89,178,53,64.0,88.59,82.65
bb_position+recovery_pct,close_position+drawdown_pct,0.7,0.7,96,12.67,1126.73,89,89,178,27,53.9,88.45,82.51
close_position+recovery_pct,close_position+drawdown_pct,0.7,0.7,96,12.55,1125.51,89,89,178,25,53.9,88.33,82.39
close_position+recovery_pct,close_position,0.7,0.65,96,12.46,1124.55,89,88,177,42,51.1,88.24,82.3
bb_position+recovery_pct,close_position+drawdown_pct+bb_position,0.75,0.6,96,12.43,1124.3,89,89,178,97,69.7,88.21,82.27
bb_position+recovery_pct,drawdown_pct,0.75,0.7,96,12.37,1123.72,89,89,178,46,62.9,88.15,82.21
